"ESQUIMALT LAGOON","BRITISH COLUMBIA","1012707","51","","","48.42","-123.47","482500000","-1232800000","15.2","1976","1978","","","1976","1978","1976","1978"
"ESQUIMALT HARBOUR","BRITISH COLUMBIA","1012710","52","71798","WPF","48.43","-123.44","482555100","-1232621600","3","1957","2016","1994","2016","1957","2016","1957","2005"
"FINLAYSON ARM RD","BRITISH COLUMBIA","1012883","53","","","48.5","-123.53","483000000","-1233200000","167.6","1976","1977","","","1976","1977","1976","1977"
"GALIANO ISLAND GCC","BRITISH COLUMBIA","1013045","56","","","48.9","-123.35","485400000","-1232100000","15.2","1956","1977","","","1956","1977","1956","1977"
"GANGES MANSELL RD","BRITISH COLUMBIA","1013051","57","","","48.87","-123.5","485218200","-1232953450","45","1974","2014","","","1974","2014","1975","2007"
"GALIANO ISL BURRILL PT","BRITISH COLUMBIA","10130DE","54","","","48.87","-123.32","485200000","-1231900000","1.5","1970","1970","","","1970","1970","1970","1970"
"GALIANO NORTH","BRITISH COLUMBIA","10130MN","55","","","48.99","-123.57","485906030","-1233424020","6","1975","2016","","","1975","2016","1975","2007"
"GOLDSTREAM LAKE","BRITISH COLUMBIA","1013240","58","","","48.45","-123.55","482700000","-1233300000","458.7","1894","1953","","","1894","1953","1894","1953"
"GOLDSTREAM MEADOWS","BRITISH COLUMBIA","1013241","59","","","48.62","-123.53","483700000","-1233200000","64","1976","1976","","","1976","1976","1976","1976"
"HONEYMOON BAY NORTHWEST","BRITISH COLUMBIA","1013519","60","","","48.83","-124.19","484951000","-1241139000","170","1989","2003","","","1989","2003","1989","2003"
"JAMES ISLAND","BRITISH COLUMBIA","1013720","61","","","48.6","-123.35","483600000","-1232100000","53.6","1914","1978","","","1914","1978","1914","1978"
"KELP REEFS","BRITISH COLUMBIA","1013998","10853","","WZO","48.55","-123.24","483251700","-1231413320","0","1997","2016","1997","2016","","","",""
"KUPER ISLAND","BRITISH COLUMBIA","1014430","62","","","48.97","-123.63","485800000","-1233800000","","1894","1905","","","1894","1905","1894","1905"
"LAKE COWICHAN","BRITISH COLUMBIA","1014493","63","","","48.82","-124.05","484900000","-1240300000","180","1924","1994","","","1924","1994","1924","1994"
"LANGFORD LAKE","BRITISH COLUMBIA","1014530","64","","","48.43","-123.53","482600000","-1233200000","75","1953","1983","","","1953","1983","1953","1983"
"MALAHAT","BRITISH COLUMBIA","1014818","10730","","","48.58","-123.58","483500000","-1233500000","275","1991","1992","1991","1992","","","",""
"MALAHAT","BRITISH COLUMBIA","1014820","65","71774","WKH","48.57","-123.53","483429700","-1233147700","365.8","1920","2016","1994","2016","1920","2016","1920","2005"
"MAYNE ISLAND","BRITISH COLUMBIA","1014930","66","","","48.85","-123.33","485100000","-1232000000","9.1","1921","1942","","","1921","1942","1921","1942"
"MAYNE ISLAND","BRITISH COLUMBIA","1014931","67","","","48.84","-123.32","485041000","-1231913000","28","1970","2002","","","1970","2002","1970","2002"
"METCHOSIN","BRITISH COLUMBIA","1015105","68","","","48.37","-123.56","482227001","-1233341002","164","1911","2016","","","1911","2016","1915","2007"
"METCHOSIN HAPPY VALLEY","BRITISH COLUMBIA","1015107","69","","","48.42","-123.53","482500000","-1233200000","76","1970","1998","","","1970","1998","1970","1998"
"METCHOSIN MOUNTAIN","BRITISH COLUMBIA","1015109","70","","","48.4","-123.53","482400000","-1233200000","91.4","1972","1972","","","1972","1972","1972","1972"
"METCHOSIN PARRY BAY","BRITISH COLUMBIA","1015111","6809","","","48.38","-123.5","482300000","-1233000000","3","1991","1995","","","1991","1995","1991","1995"
"MILL BAY KILMALU","BRITISH COLUMBIA","1015134","71","","","48.65","-123.55","483900000","-1233300000","45.7","1972","1983","","","1972","1983","1972","1983"
"MILL BAY 1 SOUTHWEST","BRITISH COLUMBIA","1015136","72","","","48.64","-123.56","483841000","-1233327000","100","1989","2006","","","1989","2006","1989","2006"
"MILLSTREAM","BRITISH COLUMBIA","1015150","73","","","48.48","-123.55","482900000","-1233300000","213.4","1926","1941","","","1926","1941","1926","1941"
"MILNES LANDING","BRITISH COLUMBIA","1015160","74","","","48.35","-123.73","482100000","-1234400000","38.1","1910","1956","","","1910","1956","1910","1956"
"MUIR CREEK 1W","BRITISH COLUMBIA","1015242","75","","","48.38","-123.88","482300000","-1235300000","30","1970","1986","","","1970","1986","1970","1986"
"NORTH COWICHAN","BRITISH COLUMBIA","1015628","76","","","48.82","-123.72","484927000","-1234306000","45.7","1981","2016","","","1981","2016","1981","2007"
"NORTH COWICHAN","BRITISH COLUMBIA","1015630","46728","71927","VOO","48.82","-123.72","484927010","-1234308009","44.8","2007","2016","2007","2016","2007","2016","",""
"NORTH PENDER ISLAND","BRITISH COLUMBIA","1015638","77","","","48.76","-123.29","484550040","-1231712010","98","1972","2016","","","1972","2016","1972","2007"
"PENDER ISLAND","BRITISH COLUMBIA","1016120","79","","","48.77","-123.3","484600000","-1231800000","26.2","1924","1999","","","1924","1999","1924","1999"
"PIERS ISLAND","BRITISH COLUMBIA","1016169","80","","","48.7","-123.42","484200000","-1232500000","17.1","1973","1985","","","1973","1985","1973","1985"
"POINT-NO-POINT","BRITISH COLUMBIA","1016203","81","","","48.41","-123.99","482421000","-1235929000","25","1990","2005","","","1990","2005","1990","2005"
"PORT RENFREW","BRITISH COLUMBIA","1016335","82","","","48.59","-124.33","483530003","-1241935000","10","1970","2014","","","1970","2014","1970","2007"
"RACE ROCKS","BRITISH COLUMBIA","1016640","10943","71778","WQK","48.3","-123.53","481752743","-1233153186","7.4","1994","2016","1994","2016","1995","2016","",""
"RACE ROCKS LIGHTSTATION","BRITISH COLUMBIA","1016641","83","","","48.3","-123.53","481800000","-1233200000","4.9","1984","1997","","","1984","1997","1984","1997"
"RIVER JORDAN","BRITISH COLUMBIA","1016780","84","","","48.42","-124.05","482500000","-1240300000","3","1908","1972","","","1908","1972","1908","1972"
"SAANICHTON CDA","BRITISH COLUMBIA","1016940","87","","","48.62","-123.42","483718000","-1232508000","61","1914","2016","","","1914","2016","1914","2007"
